key,en,ru
cmd.help.summary,"commands:
/msg @name - start private chat
/who - list who's online
/clear - clear messages
/hug @name - send a hug
/slap @name - slap with a trout
/fav @name - add to favorites
/unfav @name - remove from favorites
/block @name - block
/unblock @name - unblock","commands:
/msg @name - start private chat
/who - list who's online
/clear - clear messages
/hug @name - send a hug
/slap @name - slap with a trout
/fav @name - add to favorites
/unfav @name - remove from favorites
/block @name - block
/unblock @name - unblock"
cmd.help.title,Help,Help
cmd.hug.help,Send someone a warm hug. Usage: /hug <nickname>,Send someone a warm hug. Usage: /hug <nickname>
cmd.hug.title,Hug,Hug
cmd.invalid,Invalid command,Invalid command
cmd.msg.help,Send private message. Usage: /m <nickname> [message],Send private message. Usage: /m <nickname> [message]
cmd.msg.started,started private chat with %@,started private chat with %@
cmd.msg.title,Private Message,Private Message
cmd.msg.usage,usage: /msg @nickname [message],использование: /msg @nickname [сообщение]
cmd.peer.not_found,can't find peer: %@,не удаётся найти пользователя: %@
cmd.slap.help,Slap someone with a trout. Usage: /slap <nickname>,Slap someone with a trout. Usage: /slap <nickname>
cmd.slap.title,Slap,Slap
cmd.unblock.help,Unblock a peer. Usage: /unblock <nickname>,Unblock a peer. Usage: /unblock <nickname>
cmd.unblock.not_blocked,%@ is not blocked,%@ is not blocked
cmd.unblock.not_found,cannot unblock %@: not found,cannot unblock %@: not found
cmd.unblock.success,unblocked %@,разблокирован %@
cmd.unblock.success_geohash,unblocked %@ in geohash chats,unblocked %@ in geohash chats
cmd.unblock.title,Unblock,Unblock
cmd.unblock.usage,usage: /unblock <nickname>,usage: /unblock <nickname>
cmd.unfav.help,Remove from favorites. Usage: /unfav <nickname>,Remove from favorites. Usage: /unfav <nickname>
cmd.unfav.title,Unfavorite,Unfavorite
cmd.unknown,unknown command: %@,unknown command: %@
cmd.who.help,See who's online. Usage: /w,See who's online. Usage: /w
cmd.who.none_online,no one else is online right now,no one else is online right now
cmd.who.online_list,online: %@,online: %@
cmd.who.title,Who,Who
common.cancel,Cancel,Cancel
common.close,close,close
common.copy,Copy,Copy
common.done,DONE,DONE
common.none,none,none
common.ok,OK,OK
common.open_settings,open settings,open settings
common.show_less,Show less,Показать меньше
common.show_more,Show more,Показать больше
common.unknown,Unknown,Unknown
delivery.delivered_to,Delivered to %@,Delivered to %@
delivery.failed,Failed: %@,Failed: %@
delivery.partial_members.one,Delivered to %d of %d member,Доставлено %d из %d участника
delivery.partial_members.other,Delivered to %d of %d members,Доставлено %d из %d участников
delivery.partial_ratio,Delivered to %d/%d,Delivered to %d/%d
delivery.read_by,Read by %@,Read by %@
delivery.sending,Sending...,Sending...
delivery.sent,Sent,Sent
encryption.status.handshaking,Establishing encryption...,Establishing encryption...
encryption.status.no_handshake,Not encrypted,Not encrypted
encryption.status.none,Encryption failed,Encryption failed
encryption.status.secured,Encrypted,Encrypted
encryption.status.verified,Encrypted & Verified,Encrypted & Verified
errors.invalid_geohash,invalid geohash,invalid geohash
fp.compare_instruction,compare these fingerprints with %@ using a secure channel.,compare these fingerprints with %@ using a secure channel.
fp.handshake_in_progress,not available - handshake in progress,not available - handshake in progress
fp.mark_verified,MARK AS VERIFIED,MARK AS VERIFIED
fp.not_verified,⚠️ NOT VERIFIED,⚠️ NOT VERIFIED
fp.status.secured,secured,secured
fp.status.unencrypted,not encrypted,not encrypted
fp.status.verified,verified,verified
fp.their,THEIR FINGERPRINT:,THEIR FINGERPRINT:
fp.title,SECURITY VERIFICATION,SECURITY VERIFICATION
fp.verified,✓ VERIFIED,✓ VERIFIED
fp.verified.detail,you have verified this person's identity.,you have verified this person's identity.
fp.yours,YOUR FINGERPRINT:,YOUR FINGERPRINT:
help.title,How to Use,Как использовать
label.you_suffix, (you), (you)
location.about,"chat with people near you using geohash channels. only a coarse geohash is shared, never exact gps.","chat with people near you using geohash channels. only a coarse geohash is shared, never exact gps."
location.enable_action,get location and my geohashes,get location and my geohashes
location.finding,finding nearby channels…,finding nearby channels…
location.level.block,Block,Квартал
location.level.city,City,Город
location.level.country,Country,Страна
location.level.neighborhood,Neighborhood,Район
location.level.region,Region,Регион
location.mesh,mesh,сеть
location.permission_denied,location permission denied. enable in settings to use location channels.,location permission denied. enable in settings to use location channels.
location.remove_access,remove location access,remove location access
location.teleport,teleport,teleport
nav.home,Home,Home
nav.location_channels,#location channels,#location channels
nav.people,PEOPLE,PEOPLE
nav.settings,Settings,Настройки
notif.favorite_online.body,wanna get in there?,wanna get in there?
notif.favorite_online.title,⭐ %@ is online!,⭐ %@ is online!
notif.mention.title,🫵 you were mentioned by %@,🫵 you were mentioned by %@
notif.network_available.body.one,1 person around,1 person around
notif.network_available.body.other,%d people around,%d people around
notif.network_available.title,👥 bitchatters nearby!,👥 bitchatters nearby!
notif.private_message.title,🔒 private message from %@,🔒 private message from %@
payment.cashu,pay via cashu,pay via cashu
payment.lightning,pay via lightning,pay via lightning
peer.blocked,Blocked,Blocked
peer.blocked_geohash,Blocked in geohash,Blocked in geohash
people.none_around,nobody around...,nobody around...
placeholder.geohash,geohash,geohash
placeholder.nickname,nickname,nickname
placeholder.type_message,type a message,type a message
share.link_title,Shared Link,Поделённая ссылка
share.placeholder,Share to bitchat...,Поделиться в bitchat...
share.success,✓ Shared to bitchat,✓ Поделились в bitchat
system.blocked_geohash,blocked %@ in geohash chats,%@ заблокирован в чатах geohash
system.cannot_send_blocked,cannot send message: user is blocked.,невозможно отправить сообщение: пользователь заблокирован.
system.cannot_send_blocked_to,cannot send message to %@: user is blocked.,невозможно отправить сообщение %@: пользователь заблокирован.
system.cannot_send_not_in_location,cannot send: not in a location channel,нельзя отправить: не в канале локации
system.cannot_send_unreachable,Cannot send message to %@ - peer is not reachable via mesh or Nostr.,Нельзя отправить сообщение %@ — узел недоступен через mesh или Nostr.
system.cannot_start_blocked,cannot start chat with %@: user is blocked.,нельзя начать чат с %@: пользователь заблокирован.
system.cannot_start_need_mutual,cannot start chat with %@: mutual favorite required for offline messaging.,нельзя начать чат с %@: требуется взаимный фаворит для офлайн-сообщений.
system.favorited_you,%@ favorited you,%@ добавил вас в избранное
system.send_failed_location,failed to send to location channel,не удалось отправить в канал локации
system.unblocked_geohash,unblocked %@ in geohash chats,%@ разблокирован в чатах geohash
system.unfavorited_you,%@ unfavorited you,%@ удалил вас из избранного
test.baseOnly,Base Fallback,Base Fallback
test.sample,Sample,Sample
